UserId,Predicted
10395,
10929,11008 11009 10947 11012 11011 10950 10956 10960 10963 10972 10990 10997 10934 10936 11002 10939 10942;10944 10946 10953 10958 10962 10998 11000 10937 10971 10940 11003;11013 10935 10937 10938 10944 10946 10948 10951 10955 10957 10962 10964 10968 10977 10989 10993 10998
11014,
11186,
11364,11394 11396 11368 11369 11402 11401 11404 11370 11405 11381 11389
11410,
12800,
13353,
1357,
13789,
15672,
16203,
16378,
16642,
16869,
17951,17990 17994 17995 18000 18002 18003 17952 17959 17961 17968 17969 17975 17978 17979;17986 17955 17989 17991 17992 17997 17967 18001 17971 18004 17974 17976 17982;17953 17987 17988 17960 17963 17998 18001 17970 17977 17981
18005,
1839,
18543,18561 18564 18569 18573 18588 18593 18599 18602 18603 18604 18609 18544 18547 18551;18570 18575 18577 18578 18579 18581 18586 18587 18592 18606 18611 18545 18546 18552 18555 18559
19129,
1968,
19788,
2255,
22650,
22824,
23157,
23299,
2365,
239,
24758,
24857,
25159,
25568,
25773,
26321,
26492,
611,
6413,
6726,
7667,
8100,
8239,8290 8292 8262 8297 8332 8336 8274 8307 8244 8308 8280 8281 8312;8256 8323 8324 8327 8333 8270 8334 8272 8273 8277 8283 8291 8296 8240 8305 8306 8310 8249 8251
8553,
8777,
9103,9184 9186 9191 9193 9131 9197 9137 9169 9105 9172 9180;9185 9126 9159 9165 9134 9136 9168 9170 9139 9110 9174 9177 9116;9152 9154 9157 9158 9160 9162 9166 9106 9107 9175 9114 9181 9182 9120 9121 9122 9189 9190 9129 9194 9195 9133 9138 9141 9144 9149 9151
9642,
9846,9848 9849 9850 9851 9852 9853 9854 9856 9857 9858 9859 9861 9862 9863 9864 9865 9866 9868 9869 9873 9876 9877 9878 9879 9881 9883 9886 9887 9888 9889 9891 9893 9895 9897 9898 9899 9900 9901 9902 9903 9904 9905 9906 9907 9908 9909 9913 9914 9915 9917 9918 9920 9923 9925 9926 9928 9929 9931 9932 9933 9934 9935 9937 9938 9940 9941 9942 9943 9946;9892 9860 9930 9870 9902 9936 9872 9874 9944 9945 9916 9885 9855
9947,
27022,
2738,
2790,2817 2818 2819 2821 2824 2825 2827 2828 2829 2830 2831 2834 2837 2838 2839 2840 2841 2842 2843 2844 2846 2848 2850 2852 2855 2858 2859 2861 2862 2863 2865 2866 2867 2868 2870 2871 2872 2873 2874 2876 2880 2881 2882 2883 2884 2885 2886 2887 2888 2889 2890 2891 2894 2791 2793 2794 2795 2797 2800 2801 2802 2804 2805 2807 2808 2809 2810 2812 2813 2815
2895,2944 2946 2947 2949 2950 2952 2953 2956 2957 2958 2959 2960 2964 2967 2969 2970 2971 2972 2973 2975 2897 2899 2900 2902 2908 2909 2916 2917 2918 2920 2925 2927 2929 2930 2931 2934 2935 2941 2942;2948 2954 2955 2963 2965 2966 2968 2974 1322 2896 2903 2906 2907 2911 2912 2915 2919 2922 2923 2924 2926 2928 2938 2939 2940
3059,
345,
3735,
4406,
4829,
5212,
5494,
5881,
