Id,Choice
1,0.738
2,0.584
3,0.928
4,0.728
5,0.55
6,0.854
7,0.614
8,0.994
9,0.982
10,0.94
11,0.58
12,0.974
13,0.64
14,0.724
15,0.72
16,0.71
17,0.994
18,0.634
19,0.926
20,0.53
21,0.662
22,0.99
23,0.916
24,0.704
25,0.946
26,0.978
27,0.796
28,0.848
29,0.878
30,0.56
31,0.884
32,0.966
33,0.684
34,0.772
35,0.652
36,0.66
37,0.63
38,0.584
39,0.774
40,0.756
41,0.664
42,0.982
43,0.838
44,0.98
45,0.942
46,0.536
47,0.514
48,0.986
49,0.882
50,0.58
51,0.902
52,0.948
53,0.974
54,0.558
55,0.88
56,0.784
57,0.866
58,0.53
59,0.982
60,0.928
61,0.7
62,0.554
63,0.914
64,0.75
65,0.698
66,0.98
67,0.54
68,0.774
69,0.566
70,0.502
71,0.93
72,0.704
73,0.71
74,0.55
75,0.792
76,0.948
77,0.702
78,0.566
79,0.726
80,0.994
81,0.73
82,0.998
83,0.848
84,0.588
85,0.758
86,0.622
87,0.504
88,0.694
89,0.886
90,0.696
91,0.734
92,0.914
93,0.786
94,0.894
95,0.894
96,0.824
97,0.858
98,0.52
99,0.774
100,0.604
101,0.552
102,0.988
103,0.94
104,0.598
105,0.624
106,0.508
107,0.886
108,0.672
109,0.768
110,0.75
111,0.632
112,0.572
113,0.924
114,0.698
115,0.998
116,0.572
117,0.604
118,0.992
119,0.88
120,0.862
121,0.964
122,0.964
123,0.994
124,0.806
125,0.554
126,0.91
127,0.884
128,0.948
129,0.524
130,0.956
131,0.622
132,0.61
133,0.742
134,0.886
135,0.902
136,0.632
137,0.982
138,0.648
139,0.776
140,0.664
141,0.878
142,0.884
143,0.518
144,0.98
145,0.658
146,0.998
147,0.71
148,0.982
149,0.526
150,0.888
151,0.792
152,0.852
153,0.964
154,0.962
155,0.574
156,0.83
157,0.816
158,0.986
159,0.712
160,0.776
161,0.71
162,0.802
163,0.884
164,0.502
165,0.522
166,0.6
167,0.936
168,0.974
169,0.638
170,0.962
171,0.612
172,0.554
173,0.908
174,0.772
175,0.758
176,0.962
177,0.684
178,0.948
179,0.546
180,0.924
181,0.638
182,0.668
183,0.944
184,0.77
185,0.584
186,0.832
187,0.516
188,0.926
189,0.52
190,0.892
191,0.876
192,0.772
193,0.986
194,0.74
195,0.868
196,0.944
197,0.828
198,0.958
199,0.866
200,0.648
201,0.682
202,0.916
203,0.676
204,0.678
205,0.918
206,0.912
207,0.852
208,0.852
209,0.996
210,0.898
211,0.964
212,0.658
213,0.868
214,0.852
215,0.986
216,0.726
217,0.744
218,0.928
219,0.926
220,0.984
221,0.658
222,0.936
223,0.752
224,0.834
225,0.574
226,0.546
