Choice,A_follower_count,A_following_count,A_mentions_received,A_mentions_sent,A_retweets_sent,A_posts,A_network_feature_2,A_network_feature_3,B_follower_count,B_following_count,B_mentions_received,B_mentions_sent,B_retweets_sent,B_posts,B_network_feature_2,B_network_feature_3
0,228,302,0.583979388,0.100503359,0.100503359,0.362150068,166.5,11355,34463,29808,15.43049762,8.204331198,0.332423044,6.988814957,75.53030303,1916.893939
0,21591,1179,90.45650585,5.709328648,1.111158822,5.176620024,18.44297082,1330.366048,39262,848,40.4950207,3.2276769,0.564342729,1.070320709,132.0306748,2931.515337
0,7310,1215,25.50364448,5.361519284,0.591205607,3.58971842,68.92783505,5999.896907,3622,482,0.734695581,0.603202317,0.100503359,0.603202317,10.33333333,277.3333333
0,20,7,7.690823732,1.33150798,0.100503359,2.830626801,2,96.16666667,19562,17637,572.8748555,27.55204041,7.167556746,32.10190616,23.46929577,1395.845634
1,45589,862,148.8542792,27.88176793,3.333491804,23.86128172,127.4042934,2833.847943,7554,1711,21.60186597,6.764657043,1.119726699,4.563246324,48.5,1993.627907
0,285735,276251,19.32758151,0.100503359,0.100503359,0.100503359,44.80645161,4144.258065,11147,1500,40.59251241,19.64806445,1.861765207,12.26102921,107.4318182,2481.136364
0,285735,276251,19.32758151,0.100503359,0.100503359,0.100503359,44.80645161,4144.258065,185616,1001,266.0138739,13.11190375,0.334765667,13.66517257,172.9862288,5321.646186
1,9512,12,52.16706846,0.362150068,0.100503359,6.806045259,11.67857143,564.0408163,8120,710,7.368642902,1.59879786,0.595812012,1.332849444,205.5333333,4302.466667
1,2273871,4524,6782.405338,12.95572329,2.791860977,66.2062083,6.859364312,1113.202016,298668,551,493.2563794,4.115212281,0.854539102,3.075462809,75.97009804,3865.446569
0,182598,1402,145.8449097,23.5491893,0.100503359,15.95324256,276.4965157,8038.066202,117913,1299,189.7552298,11.29483069,2.567269167,10.9337661,185.5420326,5535.939774
0,3200,3256,0.290192078,0.362150068,0.100503359,0.362150068,0,11,322682,37601,176.5337159,6.849227229,1.345073398,4.359865448,234.3380682,7168.464489
0,3914,1439,2.404212204,0.100503359,0.100503359,0.100503359,18.77777778,899,85138,67047,150.3404561,5.480348974,0.100503359,71.87927375,205.8832753,9580.39547
1,23230,495,118.0524319,6.373205373,0.840719745,9.827004944,105.2106383,3589.004255,750,997,2.292464513,5.135357861,2.03245874,4.423155794,192.3636364,3855.727273
0,4321482,259,7068.594081,2.101994023,0.339522141,10.21653167,11.30328061,1404.195349,224146,272,56.72528019,0.100503359,0.100503359,5.782978754,54.92523364,7211.663551
1,2088,419,4.250833259,0.100503359,0.100503359,0.100503359,9,254.7222222,4511,4962,4.737176446,1.414101722,0.364792964,2.456055135,20.44444444,937.3888889
1,48711,22845,61.92480424,0.100503359,0.100503359,0.100503359,80.34334764,4431.682403,750,997,2.292464513,5.135357861,2.03245874,4.423155794,192.3636364,3855.727273
